id,genre,title,author,purchase_price,purchase_date
1234, Fantasy,The Hunger Games,Suzanne Collins,5.09,13/10/2022
1235, Magic,Harry Potter and the Order of the Phoenix,J.K. Rowling,7.38,13/10/2022
1236, Vampires,Twilight,Stephenie Meyer,2.1,13/10/2022
1237, Historical,The Book Thief,Markus Zusak,3.8,13/10/2022
1238, Fantasy,Animal Farm,George Orwell,4.42,13/10/2022
1239, Adventure,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,21.15,13/10/2022
1240, Romance,Gone with the Wind,Margaret Mitchell,5.58,13/10/2022
1241, Fiction,The Giving Tree,Shel Silverstein,4.87,13/10/2022
1242, Gothic,Wuthering Heights,Emily Brontë,2.73,13/10/2022
1243, Historical,Memoirs of a Geisha,Arthur Golden,2.76,13/10/2022
1244, Childrens,Alices Adventures in Wonderland & Through the Looking-Glass,Lewis Carroll,3.07,13/10/2022
1245, Historical Fiction,Jane Eyre,Charlotte Brontë,5.46,13/10/2022
1246, Fantasy,Divergent,Veronica Roth,0.88,13/10/2022
1247, School,Lord of the Flies,William Golding,1.89,13/10/2022
1248, Romance,Romeo and Juliet,William Shakespeare,6.79,13/10/2022
1249, Philosophy,The Alchemist,Paulo Coelho,13.22,13/10/2022
1250, Literature,Crime and Punishment,Fyodor Dostoyevsky,18.85,13/10/2022
1251, Romance,City of Bones,Cassandra Clare,6.29,13/10/2022
1252, Fantasy,Enders Game,Orson Scott Card,4.6,13/10/2022
1253, Childrens,Anne of Green Gables,L.M. Montgomery,6.07,13/10/2022
1254, Young Adult,Charlottes Web,E.B. White,6.15,13/10/2022
1255, Historical Fiction,Of Mice and Men,John Steinbeck,5.75,13/10/2022
1256, Fantasy,Dracula,Bram Stoker,4.55,13/10/2022
1257, Dystopia,Brave New World,Aldous Huxley,3.78,13/10/2022
1258, Literature,The Catcher in the Rye,J.D. Salinger,2.6,13/10/2022
1259, Romance,The Princess Bride,William Goldman,6.23,13/10/2022
1260, Fiction,The Lightning Thief,Rick Riordan,1.79,13/10/2022
1261, Young Adult,The Secret Garden,Frances Hodgson Burnett,3.33,13/10/2022
1262, Novels,A Thousand Splendid Suns,Khaled Hosseini,1.16,13/10/2022
1263, Young Adult,A Wrinkle in Time,Madeleine LEngle,4.8,13/10/2022
1264, Adult,A Game of Thrones,George R.R. Martin,4.01,13/10/2022
1265, Literature,The Adventures of Huckleberry Finn,Mark Twain,6.99,13/10/2022
1266, Contemporary,The Lovely Bones,Alice Sebold,1.91,13/10/2022
1267, Classics,Where the Wild Things Are,Maurice Sendak,3.67,13/10/2022
1268, Fiction,Green Eggs and Ham,Dr. Seuss,2.98,13/10/2022
1269, Mythology,The Odyssey,Homer,3.65,13/10/2022
1270, Adventure,Life of Pi,Yann Martel,2.86,13/10/2022
1271, Literature,A Tale of Two Cities,Charles Dickens,1.12,13/10/2022
1272, Historical,Water for Elephants,Sara Gruen,3.46,13/10/2022
1273, War,Slaughterhouse-Five,Kurt Vonnegut Jr.,8.5,13/10/2022
1274, Science Fiction,Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,8.75,13/10/2022
1275, Dystopia,The Giver,Lois Lowry,7.15,13/10/2022
1276, Historical Fiction,Catch-22,Joseph Heller,3.32,13/10/2022
1277, Classics,Dune,Frank Herbert,29.34,13/10/2022
1278, Science Fiction,The Stand,Stephen King,8.38,13/10/2022
1279, Young Adult,Watership Down,Richard Adams,5.25,13/10/2022
1280, Historical Fiction,Great Expectations,Charles Dickens,0.85,13/10/2022
1281, Young Adult,Little Women,Louisa May Alcott,5.51,13/10/2022
1282, Magic,Harry Potter and the Deathly Hallows,J.K. Rowling,2.85,13/10/2022
1283, Fiction,Outlander,Diana Gabaldon,5.98,13/10/2022
1284, Young Adult,My Sisters Keeper,Jodi Picoult,2.76,13/10/2022
1285, Fantasy,Matilda,Roald Dahl,6.01,13/10/2022
1286, Feminism,The Color Purple,Alice Walker,13.75,13/10/2022
1287, Young Adult,A Tree Grows in Brooklyn,Betty Smith,5.01,13/10/2022
1288, Dystopia,A Clockwork Orange,Anthony Burgess,13.05,13/10/2022
1289, Post Apocalyptic,The Road,Cormac McCarthy,6.83,13/10/2022
1290, Literature,The Brothers Karamazov,Fyodor Dostoyevsky,5.51,13/10/2022
1291, Classics,Angelas Ashes,Frank McCourt,2.76,13/10/2022
1292, Paranormal,Vampire Academy,Richelle Mead,3.33,13/10/2022
1293, Classics,The Poisonwood Bible,Barbara Kingsolver,4.12,13/10/2022
1294, Childrens,The Golden Compass,Philip Pullman,1.61,13/10/2022
1295, Spanish Literature,Don Quixote,Miguel de Cervantes Saavedra,9.04,13/10/2022
1296, Politics,Atlas Shrugged,Ayn Rand,4.41,13/10/2022
1297, Magic,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,5.94,13/10/2022
1298, Novels,The Old Man and the Sea,Ernest Hemingway,15.63,13/10/2022
1299, Fantasy,Winnie-the-Pooh,A.A. Milne,5.3,13/10/2022
1300, Fiction,The Complete Stories and Poems,Edgar Allan Poe,5.27,13/10/2022
1301, Vampires,Interview with the Vampire,Anne Rice,2.66,13/10/2022
1302, Literature,A Prayer for Owen Meany,John Irving,2.86,13/10/2022
1303, Adventure,Moby-Dick or,Herman Melville,1.87,13/10/2022
1304, Religion,The Red Tent,Anita Diamant,5.26,13/10/2022
1305, Classics,The Secret Life of Bees,Sue Monk Kidd,3.5,13/10/2022
1306, Romance,Clockwork Angel,Cassandra Clare,4.62,13/10/2022
